asset,slot_key,slot_start_ts,slot_end_ts,slot_start_utc,polymarket_resolution,kalshi_resolution,polymarket_settlement_value_usd,kalshi_settlement_value_usd,source,outcome_mismatch,fatal_poly_up_kalshi_no,fatal_poly_down_kalshi_yes,polymarket_benchmark_conflict,kalshi_benchmark_conflict
btc,btc:1784232900000,1784232900000,1784233800000,2026-07-16T20:15:00Z,DOWN,NO,,64138.44,official-venue-resolution,f,f,f,f,f
doge,doge:1784232900000,1784232900000,1784233800000,2026-07-16T20:15:00Z,UP,NO,,0.073068,official-venue-resolution,t,f,t,f,f
eth,eth:1784232900000,1784232900000,1784233800000,2026-07-16T20:15:00Z,UP,YES,,1872.01,official-venue-resolution,f,f,f,f,f
sol,sol:1784232900000,1784232900000,1784233800000,2026-07-16T20:15:00Z,UP,YES,,75.7707,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784232900000,1784232900000,1784233800000,2026-07-16T20:15:00Z,UP,YES,,1.0966,official-venue-resolution,f,f,f,f,f
btc,btc:1784233800000,1784233800000,1784234700000,2026-07-16T20:30:00Z,DOWN,NO,,64107.73,official-venue-resolution,f,f,f,f,f
doge,doge:1784233800000,1784233800000,1784234700000,2026-07-16T20:30:00Z,UP,YES,,0.0731453,official-venue-resolution,f,f,f,f,f
eth,eth:1784233800000,1784233800000,1784234700000,2026-07-16T20:30:00Z,DOWN,NO,,1871.27,official-venue-resolution,f,f,f,f,f
sol,sol:1784233800000,1784233800000,1784234700000,2026-07-16T20:30:00Z,DOWN,NO,,75.7158,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784233800000,1784233800000,1784234700000,2026-07-16T20:30:00Z,UP,YES,,1.0969,official-venue-resolution,f,f,f,f,f
btc,btc:1784234700000,1784234700000,1784235600000,2026-07-16T20:45:00Z,DOWN,NO,,64095.49,official-venue-resolution,f,f,f,f,f
doge,doge:1784234700000,1784234700000,1784235600000,2026-07-16T20:45:00Z,DOWN,NO,,0.0730439,official-venue-resolution,f,f,f,f,f
eth,eth:1784234700000,1784234700000,1784235600000,2026-07-16T20:45:00Z,DOWN,NO,,1870.79,official-venue-resolution,f,f,f,f,f
sol,sol:1784234700000,1784234700000,1784235600000,2026-07-16T20:45:00Z,UP,YES,,75.7612,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784234700000,1784234700000,1784235600000,2026-07-16T20:45:00Z,DOWN,YES,,1.097,official-venue-resolution,t,t,f,f,f
btc,btc:1784235600000,1784235600000,1784236500000,2026-07-16T21:00:00Z,UP,YES,,64140.35,official-venue-resolution,f,f,f,f,f
doge,doge:1784235600000,1784235600000,1784236500000,2026-07-16T21:00:00Z,UP,NO,,0.0730341,official-venue-resolution,t,f,t,f,f
eth,eth:1784235600000,1784235600000,1784236500000,2026-07-16T21:00:00Z,UP,YES,,1874.61,official-venue-resolution,f,f,f,f,f
sol,sol:1784235600000,1784235600000,1784236500000,2026-07-16T21:00:00Z,UP,YES,,75.9035,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784235600000,1784235600000,1784236500000,2026-07-16T21:00:00Z,DOWN,NO,,1.095,official-venue-resolution,f,f,f,f,f
btc,btc:1784236500000,1784236500000,1784237400000,2026-07-16T21:15:00Z,DOWN,NO,,64137.1,official-venue-resolution,f,f,f,f,f
doge,doge:1784236500000,1784236500000,1784237400000,2026-07-16T21:15:00Z,UP,YES,,0.0730912,official-venue-resolution,f,f,f,f,f
eth,eth:1784236500000,1784236500000,1784237400000,2026-07-16T21:15:00Z,UP,YES,,1877.09,official-venue-resolution,f,f,f,f,f
sol,sol:1784236500000,1784236500000,1784237400000,2026-07-16T21:15:00Z,DOWN,NO,,75.861,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784236500000,1784236500000,1784237400000,2026-07-16T21:15:00Z,UP,YES,,1.096,official-venue-resolution,f,f,f,f,f
btc,btc:1784237400000,1784237400000,1784238300000,2026-07-16T21:30:00Z,UP,YES,,64150.39,official-venue-resolution,f,f,f,f,f
doge,doge:1784237400000,1784237400000,1784238300000,2026-07-16T21:30:00Z,UP,YES,,0.0731707,official-venue-resolution,f,f,f,f,f
eth,eth:1784237400000,1784237400000,1784238300000,2026-07-16T21:30:00Z,UP,YES,,1877.32,official-venue-resolution,f,f,f,f,f
sol,sol:1784237400000,1784237400000,1784238300000,2026-07-16T21:30:00Z,UP,YES,,75.8918,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784237400000,1784237400000,1784238300000,2026-07-16T21:30:00Z,UP,YES,,1.097,official-venue-resolution,f,f,f,f,f
btc,btc:1784238300000,1784238300000,1784239200000,2026-07-16T21:45:00Z,DOWN,NO,,64109.92,official-venue-resolution,f,f,f,f,f
doge,doge:1784238300000,1784238300000,1784239200000,2026-07-16T21:45:00Z,DOWN,NO,,0.0730592,official-venue-resolution,f,f,f,f,f
eth,eth:1784238300000,1784238300000,1784239200000,2026-07-16T21:45:00Z,DOWN,NO,,1876.8,official-venue-resolution,f,f,f,f,f
sol,sol:1784238300000,1784238300000,1784239200000,2026-07-16T21:45:00Z,DOWN,NO,,75.8677,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784238300000,1784238300000,1784239200000,2026-07-16T21:45:00Z,UP,NO,,1.0969,official-venue-resolution,t,f,t,f,f
btc,btc:1784239200000,1784239200000,1784240100000,2026-07-16T22:00:00Z,UP,YES,,64127.78,official-venue-resolution,f,f,f,f,f
doge,doge:1784239200000,1784239200000,1784240100000,2026-07-16T22:00:00Z,UP,YES,,0.0731843,official-venue-resolution,f,f,f,f,f
eth,eth:1784239200000,1784239200000,1784240100000,2026-07-16T22:00:00Z,UP,YES,,1878.32,official-venue-resolution,f,f,f,f,f
sol,sol:1784239200000,1784239200000,1784240100000,2026-07-16T22:00:00Z,UP,YES,,75.8802,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784239200000,1784239200000,1784240100000,2026-07-16T22:00:00Z,DOWN,YES,,1.097,official-venue-resolution,t,t,f,f,f
btc,btc:1784240100000,1784240100000,1784241000000,2026-07-16T22:15:00Z,DOWN,NO,,63976.86,official-venue-resolution,f,f,f,f,f
doge,doge:1784240100000,1784240100000,1784241000000,2026-07-16T22:15:00Z,DOWN,NO,,0.0728702,official-venue-resolution,f,f,f,f,f
eth,eth:1784240100000,1784240100000,1784241000000,2026-07-16T22:15:00Z,DOWN,NO,,1872.89,official-venue-resolution,f,f,f,f,f
sol,sol:1784240100000,1784240100000,1784241000000,2026-07-16T22:15:00Z,DOWN,NO,,75.5357,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784240100000,1784240100000,1784241000000,2026-07-16T22:15:00Z,DOWN,NO,,1.0922,official-venue-resolution,f,f,f,f,f
btc,btc:1784241000000,1784241000000,1784241900000,2026-07-16T22:30:00Z,UP,YES,,64033.82,official-venue-resolution,f,f,f,f,f
doge,doge:1784241000000,1784241000000,1784241900000,2026-07-16T22:30:00Z,DOWN,NO,,0.072811,official-venue-resolution,f,f,f,f,f
eth,eth:1784241000000,1784241000000,1784241900000,2026-07-16T22:30:00Z,DOWN,NO,,1870.24,official-venue-resolution,f,f,f,f,f
sol,sol:1784241000000,1784241000000,1784241900000,2026-07-16T22:30:00Z,UP,YES,,75.5683,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784241000000,1784241000000,1784241900000,2026-07-16T22:30:00Z,DOWN,NO,,1.0914,official-venue-resolution,f,f,f,f,f
btc,btc:1784241900000,1784241900000,1784242800000,2026-07-16T22:45:00Z,DOWN,NO,,63918.52,official-venue-resolution,f,f,f,f,f
doge,doge:1784241900000,1784241900000,1784242800000,2026-07-16T22:45:00Z,DOWN,NO,,0.072684,official-venue-resolution,f,f,f,f,f
eth,eth:1784241900000,1784241900000,1784242800000,2026-07-16T22:45:00Z,DOWN,NO,,1867.75,official-venue-resolution,f,f,f,f,f
sol,sol:1784241900000,1784241900000,1784242800000,2026-07-16T22:45:00Z,DOWN,NO,,75.2825,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784241900000,1784241900000,1784242800000,2026-07-16T22:45:00Z,DOWN,NO,,1.0896,official-venue-resolution,f,f,f,f,f
btc,btc:1784242800000,1784242800000,1784243700000,2026-07-16T23:00:00Z,DOWN,NO,,63876.93,official-venue-resolution,f,f,f,f,f
doge,doge:1784242800000,1784242800000,1784243700000,2026-07-16T23:00:00Z,DOWN,NO,,0.0725159,official-venue-resolution,f,f,f,f,f
eth,eth:1784242800000,1784242800000,1784243700000,2026-07-16T23:00:00Z,DOWN,NO,,1865.52,official-venue-resolution,f,f,f,f,f
sol,sol:1784242800000,1784242800000,1784243700000,2026-07-16T23:00:00Z,UP,YES,,75.2998,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784242800000,1784242800000,1784243700000,2026-07-16T23:00:00Z,DOWN,NO,,1.0887,official-venue-resolution,f,f,f,f,f
btc,btc:1784243700000,1784243700000,1784244600000,2026-07-16T23:15:00Z,DOWN,NO,,63769.14,official-venue-resolution,f,f,f,f,f
doge,doge:1784243700000,1784243700000,1784244600000,2026-07-16T23:15:00Z,DOWN,NO,,0.0722237,official-venue-resolution,f,f,f,f,f
eth,eth:1784243700000,1784243700000,1784244600000,2026-07-16T23:15:00Z,DOWN,NO,,1859.95,official-venue-resolution,f,f,f,f,f
sol,sol:1784243700000,1784243700000,1784244600000,2026-07-16T23:15:00Z,DOWN,NO,,75.0763,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784243700000,1784243700000,1784244600000,2026-07-16T23:15:00Z,DOWN,NO,,1.0862,official-venue-resolution,f,f,f,f,f
btc,btc:1784244600000,1784244600000,1784245500000,2026-07-16T23:30:00Z,UP,YES,,63791.99,official-venue-resolution,f,f,f,f,f
doge,doge:1784244600000,1784244600000,1784245500000,2026-07-16T23:30:00Z,UP,YES,,0.0722856,official-venue-resolution,f,f,f,f,f
eth,eth:1784244600000,1784244600000,1784245500000,2026-07-16T23:30:00Z,UP,YES,,1861.42,official-venue-resolution,f,f,f,f,f
sol,sol:1784244600000,1784244600000,1784245500000,2026-07-16T23:30:00Z,UP,YES,,75.2232,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784244600000,1784244600000,1784245500000,2026-07-16T23:30:00Z,UP,YES,,1.0869,official-venue-resolution,f,f,f,f,f
btc,btc:1784245500000,1784245500000,1784246400000,2026-07-16T23:45:00Z,DOWN,YES,,63794.3,official-venue-resolution,t,t,f,f,f
doge,doge:1784245500000,1784245500000,1784246400000,2026-07-16T23:45:00Z,UP,YES,,0.0723615,official-venue-resolution,f,f,f,f,f
eth,eth:1784245500000,1784245500000,1784246400000,2026-07-16T23:45:00Z,UP,YES,,1863.17,official-venue-resolution,f,f,f,f,f
sol,sol:1784245500000,1784245500000,1784246400000,2026-07-16T23:45:00Z,UP,YES,,75.263,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784245500000,1784245500000,1784246400000,2026-07-16T23:45:00Z,DOWN,NO,,1.0863,official-venue-resolution,f,f,f,f,f
btc,btc:1784246400000,1784246400000,1784247300000,2026-07-17T00:00:00Z,DOWN,NO,,63738.53,official-venue-resolution,f,f,f,f,f
doge,doge:1784246400000,1784246400000,1784247300000,2026-07-17T00:00:00Z,DOWN,NO,,0.0722355,official-venue-resolution,f,f,f,f,f
eth,eth:1784246400000,1784246400000,1784247300000,2026-07-17T00:00:00Z,DOWN,NO,,1860.2,official-venue-resolution,f,f,f,f,f
sol,sol:1784246400000,1784246400000,1784247300000,2026-07-17T00:00:00Z,DOWN,NO,,75.1687,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784246400000,1784246400000,1784247300000,2026-07-17T00:00:00Z,DOWN,NO,,1.0851,official-venue-resolution,f,f,f,f,f
btc,btc:1784247300000,1784247300000,1784248200000,2026-07-17T00:15:00Z,UP,YES,,63749.34,official-venue-resolution,f,f,f,f,f
doge,doge:1784247300000,1784247300000,1784248200000,2026-07-17T00:15:00Z,UP,YES,,0.0723186,official-venue-resolution,f,f,f,f,f
eth,eth:1784247300000,1784247300000,1784248200000,2026-07-17T00:15:00Z,DOWN,NO,,1859.52,official-venue-resolution,f,f,f,f,f
sol,sol:1784247300000,1784247300000,1784248200000,2026-07-17T00:15:00Z,UP,YES,,75.2775,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784247300000,1784247300000,1784248200000,2026-07-17T00:15:00Z,UP,YES,,1.086,official-venue-resolution,f,f,f,f,f
btc,btc:1784248200000,1784248200000,1784249100000,2026-07-17T00:30:00Z,DOWN,NO,,63716.61,official-venue-resolution,f,f,f,f,f
doge,doge:1784248200000,1784248200000,1784249100000,2026-07-17T00:30:00Z,UP,YES,,0.072403,official-venue-resolution,f,f,f,f,f
eth,eth:1784248200000,1784248200000,1784249100000,2026-07-17T00:30:00Z,DOWN,NO,,1855.85,official-venue-resolution,f,f,f,f,f
sol,sol:1784248200000,1784248200000,1784249100000,2026-07-17T00:30:00Z,UP,NO,,75.2265,official-venue-resolution,t,f,t,f,f
xrp,xrp:1784248200000,1784248200000,1784249100000,2026-07-17T00:30:00Z,UP,NO,,1.0857,official-venue-resolution,t,f,t,f,f
btc,btc:1784249100000,1784249100000,1784250000000,2026-07-17T00:45:00Z,UP,YES,,63829.88,official-venue-resolution,f,f,f,f,f
doge,doge:1784249100000,1784249100000,1784250000000,2026-07-17T00:45:00Z,UP,YES,,0.072714,official-venue-resolution,f,f,f,f,f
eth,eth:1784249100000,1784249100000,1784250000000,2026-07-17T00:45:00Z,UP,YES,,1864.03,official-venue-resolution,f,f,f,f,f
sol,sol:1784249100000,1784249100000,1784250000000,2026-07-17T00:45:00Z,UP,YES,,75.487,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784249100000,1784249100000,1784250000000,2026-07-17T00:45:00Z,UP,YES,,1.091,official-venue-resolution,f,f,f,f,f
btc,btc:1784250000000,1784250000000,1784250900000,2026-07-17T01:00:00Z,UP,YES,,63941.56,official-venue-resolution,f,f,f,f,f
doge,doge:1784250000000,1784250000000,1784250900000,2026-07-17T01:00:00Z,UP,YES,,0.0727775,official-venue-resolution,f,f,f,f,f
eth,eth:1784250000000,1784250000000,1784250900000,2026-07-17T01:00:00Z,UP,YES,,1866.82,official-venue-resolution,f,f,f,f,f
sol,sol:1784250000000,1784250000000,1784250900000,2026-07-17T01:00:00Z,UP,YES,,75.6353,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784250000000,1784250000000,1784250900000,2026-07-17T01:00:00Z,UP,YES,,1.0937,official-venue-resolution,f,f,f,f,f
btc,btc:1784250900000,1784250900000,1784251800000,2026-07-17T01:15:00Z,DOWN,NO,,63905.3,official-venue-resolution,f,f,f,f,f
doge,doge:1784250900000,1784250900000,1784251800000,2026-07-17T01:15:00Z,DOWN,NO,,0.0726168,official-venue-resolution,f,f,f,f,f
eth,eth:1784250900000,1784250900000,1784251800000,2026-07-17T01:15:00Z,DOWN,NO,,1862.16,official-venue-resolution,f,f,f,f,f
sol,sol:1784250900000,1784250900000,1784251800000,2026-07-17T01:15:00Z,DOWN,NO,,75.5883,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784250900000,1784250900000,1784251800000,2026-07-17T01:15:00Z,DOWN,NO,,1.0932,official-venue-resolution,f,f,f,f,f
btc,btc:1784251800000,1784251800000,1784252700000,2026-07-17T01:30:00Z,DOWN,NO,,63703.04,official-venue-resolution,f,f,f,f,f
doge,doge:1784251800000,1784251800000,1784252700000,2026-07-17T01:30:00Z,DOWN,NO,,0.0722785,official-venue-resolution,f,f,f,f,f
eth,eth:1784251800000,1784251800000,1784252700000,2026-07-17T01:30:00Z,DOWN,NO,,1855.05,official-venue-resolution,f,f,f,f,f
sol,sol:1784251800000,1784251800000,1784252700000,2026-07-17T01:30:00Z,DOWN,NO,,75.2362,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784251800000,1784251800000,1784252700000,2026-07-17T01:30:00Z,DOWN,NO,,1.0888,official-venue-resolution,f,f,f,f,f
btc,btc:1784252700000,1784252700000,1784253600000,2026-07-17T01:45:00Z,DOWN,NO,,63495,official-venue-resolution,f,f,f,f,f
doge,doge:1784252700000,1784252700000,1784253600000,2026-07-17T01:45:00Z,DOWN,NO,,0.072114,official-venue-resolution,f,f,f,f,f
eth,eth:1784252700000,1784252700000,1784253600000,2026-07-17T01:45:00Z,DOWN,NO,,1849.94,official-venue-resolution,f,f,f,f,f
sol,sol:1784252700000,1784252700000,1784253600000,2026-07-17T01:45:00Z,DOWN,NO,,75.038,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784252700000,1784252700000,1784253600000,2026-07-17T01:45:00Z,DOWN,NO,,1.0868,official-venue-resolution,f,f,f,f,f
btc,btc:1784253600000,1784253600000,1784254500000,2026-07-17T02:00:00Z,UP,YES,,63568,official-venue-resolution,f,f,f,f,f
doge,doge:1784253600000,1784253600000,1784254500000,2026-07-17T02:00:00Z,UP,YES,,0.0721334,official-venue-resolution,f,f,f,f,f
eth,eth:1784253600000,1784253600000,1784254500000,2026-07-17T02:00:00Z,UP,YES,,1851.56,official-venue-resolution,f,f,f,f,f
sol,sol:1784253600000,1784253600000,1784254500000,2026-07-17T02:00:00Z,UP,YES,,75.1312,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784253600000,1784253600000,1784254500000,2026-07-17T02:00:00Z,UP,YES,,1.0893,official-venue-resolution,f,f,f,f,f
btc,btc:1784254500000,1784254500000,1784255400000,2026-07-17T02:15:00Z,DOWN,NO,,63539.52,official-venue-resolution,f,f,f,f,f
doge,doge:1784254500000,1784254500000,1784255400000,2026-07-17T02:15:00Z,DOWN,NO,,0.0720568,official-venue-resolution,f,f,f,f,f
sol,sol:1784254500000,1784254500000,1784255400000,2026-07-17T02:15:00Z,DOWN,NO,,75.1075,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784254500000,1784254500000,1784255400000,2026-07-17T02:15:00Z,DOWN,NO,,1.0881,official-venue-resolution,f,f,f,f,f
btc,btc:1784255400000,1784255400000,1784256300000,2026-07-17T02:30:00Z,DOWN,NO,,63404.3,official-venue-resolution,f,f,f,f,f
doge,doge:1784255400000,1784255400000,1784256300000,2026-07-17T02:30:00Z,DOWN,NO,,0.0719484,official-venue-resolution,f,f,f,f,f
eth,eth:1784255400000,1784255400000,1784256300000,2026-07-17T02:30:00Z,DOWN,NO,,1845,official-venue-resolution,f,f,f,f,f
sol,sol:1784255400000,1784255400000,1784256300000,2026-07-17T02:30:00Z,DOWN,NO,,74.83,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784255400000,1784255400000,1784256300000,2026-07-17T02:30:00Z,DOWN,NO,,1.0871,official-venue-resolution,f,f,f,f,f
btc,btc:1784256300000,1784256300000,1784257200000,2026-07-17T02:45:00Z,UP,YES,,63435.63,official-venue-resolution,f,f,f,f,f
doge,doge:1784256300000,1784256300000,1784257200000,2026-07-17T02:45:00Z,UP,YES,,0.0720423,official-venue-resolution,f,f,f,f,f
eth,eth:1784256300000,1784256300000,1784257200000,2026-07-17T02:45:00Z,UP,YES,,1846.76,official-venue-resolution,f,f,f,f,f
sol,sol:1784256300000,1784256300000,1784257200000,2026-07-17T02:45:00Z,UP,YES,,74.9285,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784256300000,1784256300000,1784257200000,2026-07-17T02:45:00Z,UP,YES,,1.0873,official-venue-resolution,f,f,f,f,f
btc,btc:1784257200000,1784257200000,1784258100000,2026-07-17T03:00:00Z,UP,YES,,63572.5,official-venue-resolution,f,f,f,f,f
doge,doge:1784257200000,1784257200000,1784258100000,2026-07-17T03:00:00Z,UP,YES,,0.0723329,official-venue-resolution,f,f,f,f,f
eth,eth:1784257200000,1784257200000,1784258100000,2026-07-17T03:00:00Z,UP,YES,,1852.07,official-venue-resolution,f,f,f,f,f
sol,sol:1784257200000,1784257200000,1784258100000,2026-07-17T03:00:00Z,UP,YES,,75.1635,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784257200000,1784257200000,1784258100000,2026-07-17T03:00:00Z,UP,YES,,1.0905,official-venue-resolution,f,f,f,f,f
btc,btc:1784258100000,1784258100000,1784259000000,2026-07-17T03:15:00Z,UP,YES,,63633.43,official-venue-resolution,f,f,f,f,f
doge,doge:1784258100000,1784258100000,1784259000000,2026-07-17T03:15:00Z,UP,YES,,0.0725589,official-venue-resolution,f,f,f,f,f
eth,eth:1784258100000,1784258100000,1784259000000,2026-07-17T03:15:00Z,UP,YES,,1856.7,official-venue-resolution,f,f,f,f,f
sol,sol:1784258100000,1784258100000,1784259000000,2026-07-17T03:15:00Z,UP,YES,,75.33,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784258100000,1784258100000,1784259000000,2026-07-17T03:15:00Z,UP,YES,,1.0935,official-venue-resolution,f,f,f,f,f
btc,btc:1784259000000,1784259000000,1784259900000,2026-07-17T03:30:00Z,DOWN,NO,,63574.2,official-venue-resolution,f,f,f,f,f
doge,doge:1784259000000,1784259000000,1784259900000,2026-07-17T03:30:00Z,DOWN,NO,,0.0724531,official-venue-resolution,f,f,f,f,f
